ID,Age,Gender,trial_index_manual,condition,file_left,file_right,gapOf,decision_choice,signal_detection,confidence_rating,rt,trial_type,trial_index,time_elapsed,internal_node_id
111,11,Female,1,minus30_vs_0,1_minus_30.mp4,10_minus_0.mp4,9,Different,Hit,6,4783,html-keyboard-response,1,6723,0.0-1.0
111,,,2,0_vs_minus30,10_minus_0.mp4,10_minus_30.mp4,0,Different,FA,3,7455,html-keyboard-response,3,14694,0.0-3.0
111,,,3,plus30_vs_0,3_plus_30.mp4,3_minus_0.mp4,0,Different,FA,3,9107,html-keyboard-response,5,24308,0.0-5.0
111,,,4,0_vs_minus30,6_minus_0.mp4,6_minus_30.mp4,0,Same,CR,5,6574,html-keyboard-response,7,31390,0.0-7.0
111,,,5,plus30_vs_minus30,11_plus_30.mp4,3_minus_30.mp4,8,Different,Hit,6,4597,html-keyboard-response,9,36497,0.0-9.0
111,,,6,minus30_vs_0,12_minus_30.mp4,9_minus_0.mp4,3,Different,Hit,4,6747,html-keyboard-response,11,43759,0.0-11.0
111,,,7,minus30_vs_0,5_minus_30.mp4,10_minus_0.mp4,5,Different,Hit,6,4943,html-keyboard-response,13,49215,0.0-13.0
111,,,8,0_vs_plus30,1_minus_0.mp4,6_plus_30.mp4,5,Different,Hit,5,5458,html-keyboard-response,15,55180,0.0-15.0
111,,,9,plus30_vs_minus30,9_plus_30.mp4,9_minus_30.mp4,0,Same,CR,4,8001,html-keyboard-response,17,63691,0.0-17.0
111,,,10,plus30_vs_minus30,1_plus_30.mp4,1_minus_30.mp4,0,Same,CR,3,28791,html-keyboard-response,19,92985,0.0-19.0
111,,,11,0_vs_plus30,4_minus_0.mp4,4_plus_30.mp4,0,Same,CR,5,17388,html-keyboard-response,21,110889,0.0-21.0
111,,,12,0_vs_plus30,8_minus_0.mp4,4_plus_30.mp4,4,Different,Hit,6,4105,html-keyboard-response,23,115500,0.0-23.0
111,,,13,minus30_vs_plus30,12_minus_30.mp4,1_plus_30.mp4,11,Different,Hit,6,4212,html-keyboard-response,25,120214,0.0-25.0
111,,,14,minus30_vs_plus30,12_minus_30.mp4,12_plus_30.mp4,0,Same,CR,5,5051,html-keyboard-response,27,125780,0.0-27.0
111,,,15,plus30_vs_minus30,7_plus_30.mp4,7_minus_30.mp4,0,Same,CR,4,15269,html-keyboard-response,29,141566,0.0-29.0
111,,,16,minus30_vs_0,2_minus_30.mp4,12_minus_0.mp4,10,Different,Hit,6,3448,html-keyboard-response,31,145527,0.0-31.0
111,,,17,minus30_vs_plus30,11_minus_30.mp4,11_plus_30.mp4,0,Different,FA,4,6580,html-keyboard-response,33,152614,0.0-33.0
111,,,18,minus30_vs_0,7_minus_30.mp4,11_minus_0.mp4,4,Different,Hit,4,17295,html-keyboard-response,35,170426,0.0-35.0
111,,,19,0_vs_plus30,11_minus_0.mp4,11_plus_30.mp4,0,Different,FA,4,24228,html-keyboard-response,37,195173,0.0-37.0
111,,,20,0_vs_minus30,1_minus_0.mp4,12_minus_30.mp4,11,Different,Hit,6,3232,html-keyboard-response,39,198908,0.0-39.0
111,,,21,0_vs_plus30,2_minus_0.mp4,2_plus_30.mp4,0,Same,CR,4,4535,html-keyboard-response,41,203952,0.0-41.0
111,,,22,0_vs_minus30,4_minus_0.mp4,4_minus_30.mp4,0,Different,FA,4,7970,html-keyboard-response,43,212434,0.0-43.0
111,,,23,0_vs_plus30,7_minus_0.mp4,7_plus_30.mp4,0,Same,CR,5,15080,html-keyboard-response,45,228036,0.0-45.0
111,,,24,0_vs_minus30,12_minus_0.mp4,1_minus_30.mp4,11,Different,Hit,6,3035,html-keyboard-response,47,231578,0.0-47.0
111,,,25,0_vs_minus30,12_minus_0.mp4,11_minus_30.mp4,1,Different,Hit,4,7747,html-keyboard-response,49,239829,0.0-49.0
111,,,26,minus30_vs_0,5_minus_30.mp4,5_minus_0.mp4,0,Different,FA,4,21261,html-keyboard-response,51,261604,0.0-51.0
111,,,27,minus30_vs_plus30,4_minus_30.mp4,8_plus_30.mp4,4,Different,Hit,6,3274,html-keyboard-response,53,265387,0.0-53.0
111,,,28,plus30_vs_0,7_plus_30.mp4,7_minus_0.mp4,0,Same,CR,4,9711,html-keyboard-response,55,275630,0.0-55.0
111,,,29,plus30_vs_minus30,11_plus_30.mp4,11_minus_30.mp4,0,Same,CR,4,17763,html-keyboard-response,57,293910,0.0-57.0
111,,,30,0_vs_plus30,10_minus_0.mp4,1_plus_30.mp4,10,Different,Hit,6,3950,html-keyboard-response,59,298367,0.0-59.0
111,,,31,0_vs_minus30,8_minus_0.mp4,8_minus_30.mp4,0,Different,FA,3,6038,html-keyboard-response,61,304921,0.0-61.0
111,,,32,plus30_vs_0,2_plus_30.mp4,3_minus_0.mp4,1,Different,Hit,5,7847,html-keyboard-response,63,313282,0.0-63.0
111,,,33,plus30_vs_minus30,10_plus_30.mp4,4_minus_30.mp4,6,Different,Hit,6,4588,html-keyboard-response,65,318383,0.0-65.0
111,,,34,0_vs_plus30,9_minus_0.mp4,2_plus_30.mp4,7,Different,Hit,6,5090,html-keyboard-response,67,323980,0.0-67.0
111,,,35,minus30_vs_0,2_minus_30.mp4,10_minus_0.mp4,8,Different,Hit,6,3395,html-keyboard-response,69,327884,0.0-69.0
111,,,36,minus30_vs_plus30,12_minus_30.mp4,1_plus_30.mp4,10,Different,Hit,6,5379,html-keyboard-response,71,333776,0.0-71.0
111,,,37,minus30_vs_plus30,3_minus_30.mp4,3_plus_30.mp4,0,Same,CR,4,4862,html-keyboard-response,73,339157,0.0-73.0
111,,,38,minus30_vs_plus30,1_minus_30.mp4,12_plus_30.mp4,11,Different,Hit,6,6998,html-keyboard-response,75,346665,0.0-75.0
111,,,39,minus30_vs_0,11_minus_30.mp4,11_minus_0.mp4,0,Different,FA,3,9781,html-keyboard-response,77,356954,0.0-77.0
111,,,40,0_vs_plus30,1_minus_0.mp4,7_plus_30.mp4,6,Different,Hit,6,3185,html-keyboard-response,79,360649,0.0-79.0
111,,,41,minus30_vs_0,2_minus_30.mp4,2_minus_0.mp4,0,Same,CR,4,4485,html-keyboard-response,81,365648,0.0-81.0
111,,,42,plus30_vs_minus30,10_plus_30.mp4,12_minus_30.mp4,2,Different,Hit,3,10282,html-keyboard-response,83,376437,0.0-83.0
111,,,43,minus30_vs_plus30,8_minus_30.mp4,5_plus_30.mp4,3,Different,Hit,5,6406,html-keyboard-response,85,383347,0.0-85.0
111,,,44,plus30_vs_minus30,10_plus_30.mp4,10_minus_30.mp4,0,Same,CR,4,8335,html-keyboard-response,87,392192,0.0-87.0
111,,,45,0_vs_plus30,6_minus_0.mp4,7_plus_30.mp4,1,Different,Hit,6,3367,html-keyboard-response,89,396066,0.0-89.0
111,,,46,plus30_vs_0,10_plus_30.mp4,6_minus_0.mp4,4,Different,Hit,6,3089,html-keyboard-response,91,399667,0.0-91.0
111,,,47,minus30_vs_plus30,1_minus_30.mp4,1_plus_30.mp4,0,Same,CR,3,5794,html-keyboard-response,93,405970,0.0-93.0
111,,,48,0_vs_minus30,2_minus_0.mp4,2_minus_30.mp4,0,Same,CR,4,15844,html-keyboard-response,95,422327,0.0-95.0
