ID,Age,Gender,trial_id,condition,file_left,file_right,gapOf,decision_choice,correct_answer,signal_detection,confidence_rating,decision_time,rt,trial_type,trial_index,time_elapsed,internal_node_id
112233,39,Female,1,minus30_vs_0,1_minus_30.mp4,10_minus_0.mp4,9,Different,different,Hit,74.13,7146,14599,html-keyboard-response,1,16846,0.0-1.0
112233,,,2,0_vs_minus30,10_minus_0.mp4,10_minus_30.mp4,0,Same,same,CR,97.73,14978,19680,html-keyboard-response,3,37053,0.0-3.0
112233,,,3,plus30_vs_0,3_plus_30.mp4,3_minus_0.mp4,0,Same,same,CR,80.27,6559,10724,html-keyboard-response,5,48286,0.0-5.0
112233,,,4,0_vs_minus30,6_minus_0.mp4,6_minus_30.mp4,0,Same,same,CR,78.4,7077,11041,html-keyboard-response,7,59840,0.0-7.0
112233,,,5,plus30_vs_minus30,11_plus_30.mp4,3_minus_30.mp4,8,Different,different,Hit,38,22978,27768,html-keyboard-response,9,88115,0.0-9.0
112233,,,6,minus30_vs_0,12_minus_30.mp4,9_minus_0.mp4,3,Same,different,Miss,73.73,8459,12280,html-keyboard-response,11,100903,0.0-11.0
112233,,,7,minus30_vs_0,5_minus_30.mp4,10_minus_0.mp4,5,Different,different,Hit,40.8,7104,10827,html-keyboard-response,13,112241,0.0-13.0
112233,,,8,0_vs_plus30,1_minus_0.mp4,6_plus_30.mp4,5,Different,different,Hit,62,8304,12470,html-keyboard-response,15,125229,0.0-15.0
112233,,,9,plus30_vs_minus30,9_plus_30.mp4,9_minus_30.mp4,0,Same,same,CR,56.53,5932,11868,html-keyboard-response,17,137604,0.0-17.0
112233,,,10,plus30_vs_minus30,1_plus_30.mp4,1_minus_30.mp4,0,Same,same,CR,80.27,5331,9582,html-keyboard-response,19,147695,0.0-19.0
112233,,,11,0_vs_plus30,4_minus_0.mp4,4_plus_30.mp4,0,Same,same,CR,69.6,7505,10741,html-keyboard-response,21,158944,0.0-21.0
112233,,,12,0_vs_plus30,8_minus_0.mp4,4_plus_30.mp4,4,Different,different,Hit,43.6,7241,10619,html-keyboard-response,23,170070,0.0-23.0
112233,,,13,minus30_vs_plus30,12_minus_30.mp4,1_plus_30.mp4,11,Different,different,Hit,45.87,5562,9988,html-keyboard-response,25,180567,0.0-25.0
112233,,,14,minus30_vs_plus30,12_minus_30.mp4,12_plus_30.mp4,0,Same,same,CR,70.27,5498,9641,html-keyboard-response,27,190718,0.0-27.0
112233,,,15,plus30_vs_minus30,7_plus_30.mp4,7_minus_30.mp4,0,Same,same,CR,66.13,6827,9987,html-keyboard-response,29,201215,0.0-29.0
112233,,,16,minus30_vs_0,2_minus_30.mp4,12_minus_0.mp4,10,Different,different,Hit,61.87,5613,9631,html-keyboard-response,31,211351,0.0-31.0
112233,,,17,minus30_vs_plus30,11_minus_30.mp4,11_plus_30.mp4,0,Same,same,CR,64.67,6423,12612,html-keyboard-response,33,224477,0.0-33.0
112233,,,18,minus30_vs_0,7_minus_30.mp4,11_minus_0.mp4,4,Different,different,Hit,47.07,5760,9245,html-keyboard-response,35,234230,0.0-35.0
112233,,,19,0_vs_plus30,11_minus_0.mp4,11_plus_30.mp4,0,Same,same,CR,70.27,5985,12442,html-keyboard-response,37,247179,0.0-37.0
112233,,,20,0_vs_minus30,1_minus_0.mp4,12_minus_30.mp4,11,Different,different,Hit,71.33,5517,8933,html-keyboard-response,39,256622,0.0-39.0
112233,,,21,0_vs_plus30,2_minus_0.mp4,2_plus_30.mp4,0,Same,same,CR,62.13,7872,11749,html-keyboard-response,41,268878,0.0-41.0
112233,,,22,0_vs_minus30,4_minus_0.mp4,4_minus_30.mp4,0,Same,same,CR,68.13,6096,9243,html-keyboard-response,43,278635,0.0-43.0
112233,,,23,0_vs_plus30,7_minus_0.mp4,7_plus_30.mp4,0,Same,same,CR,67.33,13172,19051,html-keyboard-response,45,298206,0.0-45.0
112233,,,24,0_vs_minus30,12_minus_0.mp4,1_minus_30.mp4,11,Different,different,Hit,67.6,5304,10372,html-keyboard-response,47,309096,0.0-47.0
112233,,,25,0_vs_minus30,12_minus_0.mp4,11_minus_30.mp4,1,Same,different,Miss,66.13,6133,9690,html-keyboard-response,49,319299,0.0-49.0
112233,,,26,minus30_vs_0,5_minus_30.mp4,5_minus_0.mp4,0,Same,same,CR,43.07,6464,9845,html-keyboard-response,51,329654,0.0-51.0
112233,,,27,minus30_vs_plus30,4_minus_30.mp4,8_plus_30.mp4,4,Same,different,Miss,18.4,4389,17435,html-keyboard-response,53,347608,0.0-53.0
112233,,,28,plus30_vs_0,7_plus_30.mp4,7_minus_0.mp4,0,Same,same,CR,60.4,4314,9820,html-keyboard-response,55,357938,0.0-55.0
112233,,,29,plus30_vs_minus30,11_plus_30.mp4,11_minus_30.mp4,0,Same,same,CR,62.53,4273,7971,html-keyboard-response,57,366417,0.0-57.0
112233,,,30,0_vs_plus30,10_minus_0.mp4,1_plus_30.mp4,10,Different,different,Hit,68.4,4734,14304,html-keyboard-response,59,381230,0.0-59.0
112233,,,31,0_vs_minus30,8_minus_0.mp4,8_minus_30.mp4,0,Same,same,CR,60.4,9204,14250,html-keyboard-response,61,395992,0.0-61.0
112233,,,32,plus30_vs_0,2_plus_30.mp4,3_minus_0.mp4,1,Same,different,Miss,72.67,3774,6891,html-keyboard-response,63,403392,0.0-63.0
112233,,,33,plus30_vs_minus30,10_plus_30.mp4,4_minus_30.mp4,6,Different,different,Hit,69.6,6017,10189,html-keyboard-response,65,414085,0.0-65.0
112233,,,34,0_vs_plus30,9_minus_0.mp4,2_plus_30.mp4,7,Different,different,Hit,68.67,4111,7883,html-keyboard-response,67,422479,0.0-67.0
112233,,,35,minus30_vs_0,2_minus_30.mp4,10_minus_0.mp4,8,Different,different,Hit,46,5010,10109,html-keyboard-response,69,433104,0.0-69.0
112233,,,36,minus30_vs_plus30,12_minus_30.mp4,1_plus_30.mp4,10,Different,different,Hit,66.93,6114,10365,html-keyboard-response,71,443978,0.0-71.0
112233,,,37,minus30_vs_plus30,3_minus_30.mp4,3_plus_30.mp4,0,Same,same,CR,66.8,3867,7215,html-keyboard-response,73,451699,0.0-73.0
112233,,,38,minus30_vs_plus30,1_minus_30.mp4,12_plus_30.mp4,11,Different,different,Hit,70.67,4404,7737,html-keyboard-response,75,459949,0.0-75.0
112233,,,39,minus30_vs_0,11_minus_30.mp4,11_minus_0.mp4,0,Same,same,CR,68.4,4849,8757,html-keyboard-response,77,469219,0.0-77.0
112233,,,40,0_vs_plus30,1_minus_0.mp4,7_plus_30.mp4,6,Different,different,Hit,60,4066,7334,html-keyboard-response,79,477069,0.0-79.0
112233,,,41,minus30_vs_0,2_minus_30.mp4,2_minus_0.mp4,0,Same,same,CR,62,5459,9044,html-keyboard-response,81,486624,0.0-81.0
112233,,,42,plus30_vs_minus30,10_plus_30.mp4,12_minus_30.mp4,2,Same,different,Miss,62.4,4351,8950,html-keyboard-response,83,496094,0.0-83.0
