gapOf,signal_detection,n,percentage
1,Hit,10,23.80952380952381
1,Miss,32,76.19047619047619
2,Hit,18,50
2,Miss,18,50
3,Hit,26,61.904761904761905
3,Miss,16,38.095238095238095
4,Hit,21,58.333333333333336
4,Miss,15,41.666666666666664
5,Hit,33,78.57142857142857
5,Miss,9,21.428571428571427
6,Hit,39,92.85714285714286
6,Miss,3,7.142857142857143
7,Hit,34,94.44444444444444
7,Miss,2,5.555555555555555
8,Hit,31,86.11111111111111
8,Miss,5,13.88888888888889
9,Hit,35,97.22222222222223
9,Miss,1,2.7777777777777777
10,Hit,45,93.75
10,Miss,3,6.25
11,Hit,36,100
